Date ,Event ,Description,In_usa
21-09-2004,Hurricane Ivan,Cyclone - 34 bio$ damage - 57 dead ,1
30-08-2005,Hurricane Katrina,Cyclone - 201 bio$ - 1.833 dead,1
08-10-2005,Kashmir Earthquake,86k casualties ,0
16-11-2007,Cyclone Sidr,15k casualties,0
03-05-2008,Cyclone Nargis,Myanmar 180k casualties ,0
14-09-2008,Hurricane Ive,Cyclone - 43 bio$ - 112 dead,1
12-01-2010,Earthquake Haiti ,100k casualties,0
11-03-2011,Tsunami and Earthquake Japan ,19k casualties,0
31-10-2012,Hurricane Sandy ,Cyclone - 88 bio$ - 159 dead,1
14-09-2017,Hurricanes US,Series of Cyclones - 339 bio$ - 3140 deaths,1
16-09-2018,Hurricane Florence ,Cyclone - 30 bio$ - 53 deaths ,1
31-12-2018,California wildfires ,Mai Til December - 30 bio$ - 106 deaths ,1
19-02-2021,Winter storms US, - 27 bio$ - 262 deaths ,1
01-09-2021,Hurricane Ida,Cyclone - 84 bio$ - 69 deaths ,1
08-09-2022,Hurricane Ian,Cyclone - 119 Bio$ - 152 deaths ,1
06-02-2023,Earthquake Syria and turkey ,59k casualties,0
29-09-2024,Hurricane Helene ,Cyclone - 78 Bio$ - 219 deaths ,1
,,,
"Sources: NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2025). https://www.ncei.noaa.gov/access/billions/, DOI: 10.25921/stkw-7w73 ( above 30 bio $ damage and 50 deaths) ",,,
Source 2: wikipedia: List of natural disasters by death toll - above 10.000 deaths ,,,
