cik,sector
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
1090872,Health Care
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
320193,Information Technology
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
1800,Health Care
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
796343,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
6281,Information Technology
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
7084,Consumer Staples
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
8670,Industrials
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
769397,Information Technology
